,0,1,2,3,4,5,6
0,-2.3,0.568,4.78,3.99,3.17,0.125,0.11
1,-2.3,0.568,4.78,3.99,3.17,0.15,0.27
2,-2.3,0.568,4.78,3.99,3.17,0.175,0.47
3,-2.3,0.568,4.78,3.99,3.17,0.2,0.78
4,-2.3,0.568,4.78,3.99,3.17,0.225,1.18
5,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
6,-2.3,0.568,4.78,3.99,3.17,0.275,2.61
7,-2.3,0.568,4.78,3.99,3.17,0.3,3.76
8,-2.3,0.568,4.78,3.99,3.17,0.325,4.99
9,-2.3,0.568,4.78,3.99,3.17,0.35,7.16
10,-2.3,0.568,4.78,3.99,3.17,0.375,11.93
11,-2.3,0.568,4.78,3.99,3.17,0.4,20.11
12,-2.3,0.568,4.78,3.99,3.17,0.425,32.75
13,-2.3,0.568,4.78,3.99,3.17,0.45,49.49
14,-2.3,0.569,4.78,3.04,3.64,0.125,0.04
15,-2.3,0.569,4.78,3.04,3.64,0.15,0.17
16,-2.3,0.569,4.78,3.04,3.64,0.175,0.37
17,-2.3,0.569,4.78,3.04,3.64,0.2,0.66
18,-2.3,0.569,4.78,3.04,3.64,0.225,1.06
19,-2.3,0.569,4.78,3.04,3.64,0.25,1.59
20,-2.3,0.569,4.78,3.04,3.64,0.275,2.33
21,-2.3,0.569,4.78,3.04,3.64,0.3,3.29
22,-2.3,0.569,4.78,3.04,3.64,0.325,4.61
23,-2.3,0.569,4.78,3.04,3.64,0.35,7.11
24,-2.3,0.569,4.78,3.04,3.64,0.375,11.99
25,-2.3,0.569,4.78,3.04,3.64,0.4,21.09
26,-2.3,0.569,4.78,3.04,3.64,0.425,35.01
27,-2.3,0.569,4.78,3.04,3.64,0.45,51.8
28,-2.3,0.565,4.78,5.35,2.76,0.125,0.09
29,-2.3,0.565,4.78,5.35,2.76,0.15,0.29
30,-2.3,0.565,4.78,5.35,2.76,0.175,0.56
31,-2.3,0.565,4.78,5.35,2.76,0.2,0.86
32,-2.3,0.565,4.78,5.35,2.76,0.225,1.31
33,-2.3,0.565,4.78,5.35,2.76,0.25,1.99
34,-2.3,0.565,4.78,5.35,2.76,0.275,2.94
35,-2.3,0.565,4.78,5.35,2.76,0.3,4.21
36,-2.3,0.565,4.78,5.35,2.76,0.325,5.54
37,-2.3,0.565,4.78,5.35,2.76,0.35,8.25
38,-2.3,0.565,4.78,5.35,2.76,0.375,13.08
39,-2.3,0.565,4.78,5.35,2.76,0.4,21.4
40,-2.3,0.565,4.78,5.35,2.76,0.425,33.14
41,-2.3,0.565,4.78,5.35,2.76,0.45,50.14
42,-2.3,0.564,5.1,3.95,3.53,0.125,0.2
43,-2.3,0.564,5.1,3.95,3.53,0.15,0.35
44,-2.3,0.564,5.1,3.95,3.53,0.175,0.65
45,-2.3,0.564,5.1,3.95,3.53,0.2,0.93
46,-2.3,0.564,5.1,3.95,3.53,0.225,1.37
47,-2.3,0.564,5.1,3.95,3.53,0.25,1.97
48,-2.3,0.564,5.1,3.95,3.53,0.275,2.83
49,-2.3,0.564,5.1,3.95,3.53,0.3,3.99
50,-2.3,0.564,5.1,3.95,3.53,0.325,5.19
51,-2.3,0.564,5.1,3.95,3.53,0.35,8.03
52,-2.3,0.564,5.1,3.95,3.53,0.375,12.86
53,-2.3,0.564,5.1,3.95,3.53,0.4,21.51
54,-2.3,0.564,5.1,3.95,3.53,0.425,33.97
55,-2.3,0.564,5.1,3.95,3.53,0.45,50.36
56,-2.4,0.574,4.36,3.96,2.76,0.125,0.2
57,-2.4,0.574,4.36,3.96,2.76,0.15,0.35
58,-2.4,0.574,4.36,3.96,2.76,0.175,0.65
59,-2.4,0.574,4.36,3.96,2.76,0.2,0.93
60,-2.4,0.574,4.36,3.96,2.76,0.225,1.37
61,-2.4,0.574,4.36,3.96,2.76,0.25,1.97
62,-2.4,0.574,4.36,3.96,2.76,0.275,2.83
63,-2.4,0.574,4.36,3.96,2.76,0.3,3.99
64,-2.4,0.574,4.36,3.96,2.76,0.325,5.19
65,-2.4,0.574,4.36,3.96,2.76,0.35,8.03
66,-2.4,0.574,4.36,3.96,2.76,0.375,12.86
67,-2.4,0.574,4.36,3.96,2.76,0.4,21.51
68,-2.4,0.574,4.36,3.96,2.76,0.425,33.97
69,-2.4,0.574,4.36,3.96,2.76,0.45,50.36
70,-2.4,0.568,4.34,2.98,3.15,0.125,0.12
71,-2.4,0.568,4.34,2.98,3.15,0.15,0.26
72,-2.4,0.568,4.34,2.98,3.15,0.175,0.43
73,-2.4,0.568,4.34,2.98,3.15,0.2,0.69
74,-2.4,0.568,4.34,2.98,3.15,0.225,1.09
75,-2.4,0.568,4.34,2.98,3.15,0.25,1.67
76,-2.4,0.568,4.34,2.98,3.15,0.275,2.46
77,-2.4,0.568,4.34,2.98,3.15,0.3,3.43
78,-2.4,0.568,4.34,2.98,3.15,0.325,4.62
79,-2.4,0.568,4.34,2.98,3.15,0.35,6.86
80,-2.4,0.568,4.34,2.98,3.15,0.375,11.56
81,-2.4,0.568,4.34,2.98,3.15,0.4,20.63
82,-2.4,0.568,4.34,2.98,3.15,0.425,34.5
83,-2.4,0.568,4.34,2.98,3.15,0.45,54.23
84,-2.3,0.562,5.14,4.95,3.17,0.125,0.28
85,-2.3,0.562,5.14,4.95,3.17,0.15,0.44
86,-2.3,0.562,5.14,4.95,3.17,0.175,0.7
87,-2.3,0.562,5.14,4.95,3.17,0.2,1.07
88,-2.3,0.562,5.14,4.95,3.17,0.225,1.57
89,-2.3,0.562,5.14,4.95,3.17,0.25,2.23
90,-2.3,0.562,5.14,4.95,3.17,0.275,3.09
91,-2.3,0.562,5.14,4.95,3.17,0.3,4.09
92,-2.3,0.562,5.14,4.95,3.17,0.325,5.82
93,-2.3,0.562,5.14,4.95,3.17,0.35,8.28
94,-2.3,0.562,5.14,4.95,3.17,0.375,12.8
95,-2.3,0.562,5.14,4.95,3.17,0.4,20.41
96,-2.3,0.562,5.14,4.95,3.17,0.425,32.34
97,-2.3,0.562,5.14,4.95,3.17,0.45,47.29
98,-2.4,0.585,4.78,3.84,3.32,0.125,0.2
99,-2.4,0.585,4.78,3.84,3.32,0.15,0.38
100,-2.4,0.585,4.78,3.84,3.32,0.175,0.64
101,-2.4,0.585,4.78,3.84,3.32,0.2,0.97
102,-2.4,0.585,4.78,3.84,3.32,0.225,1.36
103,-2.4,0.585,4.78,3.84,3.32,0.25,1.98
104,-2.4,0.585,4.78,3.84,3.32,0.275,2.91
105,-2.4,0.585,4.78,3.84,3.32,0.3,4.35
106,-2.4,0.585,4.78,3.84,3.32,0.325,5.79
107,-2.4,0.585,4.78,3.84,3.32,0.35,8.04
108,-2.4,0.585,4.78,3.84,3.32,0.375,12.15
109,-2.4,0.585,4.78,3.84,3.32,0.4,19.18
110,-2.4,0.585,4.78,3.84,3.32,0.425,30.09
111,-2.4,0.585,4.78,3.84,3.32,0.45,44.38
112,-2.2,0.546,4.78,4.13,3.07,0.125,0.15
113,-2.2,0.546,4.78,4.13,3.07,0.15,0.32
114,-2.2,0.546,4.78,4.13,3.07,0.175,0.55
115,-2.2,0.546,4.78,4.13,3.07,0.2,0.86
116,-2.2,0.546,4.78,4.13,3.07,0.225,1.24
117,-2.2,0.546,4.78,4.13,3.07,0.25,1.76
118,-2.2,0.546,4.78,4.13,3.07,0.275,2.49
119,-2.2,0.546,4.78,4.13,3.07,0.3,3.45
120,-2.2,0.546,4.78,4.13,3.07,0.325,4.83
121,-2.2,0.546,4.78,4.13,3.07,0.35,7.37
122,-2.2,0.546,4.78,4.13,3.07,0.375,12.76
123,-2.2,0.546,4.78,4.13,3.07,0.4,21.99
124,-2.2,0.546,4.78,4.13,3.07,0.425,35.64
125,-2.2,0.546,4.78,4.13,3.07,0.45,53.07
126,0.0,0.565,4.77,3.99,3.15,0.125,0.11
127,0.0,0.565,4.77,3.99,3.15,0.15,0.24
128,0.0,0.565,4.77,3.99,3.15,0.175,0.49
129,0.0,0.565,4.77,3.99,3.15,0.2,0.79
130,0.0,0.565,4.77,3.99,3.15,0.225,1.28
131,0.0,0.565,4.77,3.99,3.15,0.25,1.96
132,0.0,0.565,4.77,3.99,3.15,0.275,2.88
133,0.0,0.565,4.77,3.99,3.15,0.3,4.14
134,0.0,0.565,4.77,3.99,3.15,0.325,5.96
135,0.0,0.565,4.77,3.99,3.15,0.35,9.07
136,0.0,0.565,4.77,3.99,3.15,0.375,14.93
137,0.0,0.565,4.77,3.99,3.15,0.4,24.13
138,0.0,0.565,4.77,3.99,3.15,0.425,38.12
139,0.0,0.565,4.77,3.99,3.15,0.45,55.44
140,-5.0,0.565,4.77,3.99,3.15,0.125,0.07
141,-5.0,0.565,4.77,3.99,3.15,0.15,0.18
142,-5.0,0.565,4.77,3.99,3.15,0.175,0.4
143,-5.0,0.565,4.77,3.99,3.15,0.2,0.7
144,-5.0,0.565,4.77,3.99,3.15,0.225,1.14
145,-5.0,0.565,4.77,3.99,3.15,0.25,1.83
146,-5.0,0.565,4.77,3.99,3.15,0.275,2.77
147,-5.0,0.565,4.77,3.99,3.15,0.3,4.12
148,-5.0,0.565,4.77,3.99,3.15,0.325,5.41
149,-5.0,0.565,4.77,3.99,3.15,0.35,7.87
150,-5.0,0.565,4.77,3.99,3.15,0.375,12.71
151,-5.0,0.565,4.77,3.99,3.15,0.4,21.02
152,-5.0,0.565,4.77,3.99,3.15,0.425,34.58
153,-5.0,0.565,4.77,3.99,3.15,0.45,51.77
154,0.0,0.565,5.1,3.94,3.51,0.125,0.08
155,0.0,0.565,5.1,3.94,3.51,0.15,0.26
156,0.0,0.565,5.1,3.94,3.51,0.175,0.5
157,0.0,0.565,5.1,3.94,3.51,0.2,0.83
158,0.0,0.565,5.1,3.94,3.51,0.225,1.28
159,0.0,0.565,5.1,3.94,3.51,0.25,1.9
160,0.0,0.565,5.1,3.94,3.51,0.275,2.68
161,0.0,0.565,5.1,3.94,3.51,0.3,3.76
162,0.0,0.565,5.1,3.94,3.51,0.325,5.57
163,0.0,0.565,5.1,3.94,3.51,0.35,8.76
164,0.0,0.565,5.1,3.94,3.51,0.375,14.24
165,0.0,0.565,5.1,3.94,3.51,0.4,23.05
166,0.0,0.565,5.1,3.94,3.51,0.425,35.46
167,0.0,0.565,5.1,3.94,3.51,0.45,51.99
168,-5.0,0.565,5.1,3.94,3.51,0.125,0.08
169,-5.0,0.565,5.1,3.94,3.51,0.15,0.24
170,-5.0,0.565,5.1,3.94,3.51,0.175,0.45
171,-5.0,0.565,5.1,3.94,3.51,0.2,0.77
172,-5.0,0.565,5.1,3.94,3.51,0.225,1.19
173,-5.0,0.565,5.1,3.94,3.51,0.25,1.76
174,-5.0,0.565,5.1,3.94,3.51,0.275,2.59
175,-5.0,0.565,5.1,3.94,3.51,0.3,3.85
176,-5.0,0.565,5.1,3.94,3.51,0.325,5.27
177,-5.0,0.565,5.1,3.94,3.51,0.35,7.74
178,-5.0,0.565,5.1,3.94,3.51,0.375,12.4
179,-5.0,0.565,5.1,3.94,3.51,0.4,20.91
180,-5.0,0.565,5.1,3.94,3.51,0.425,33.23
181,-5.0,0.565,5.1,3.94,3.51,0.45,49.14
182,-2.3,0.53,5.11,3.69,3.51,0.125,0.08
183,-2.3,0.53,5.11,3.69,3.51,0.15,0.25
184,-2.3,0.53,5.11,3.69,3.51,0.175,0.46
185,-2.3,0.53,5.11,3.69,3.51,0.2,0.75
186,-2.3,0.53,5.11,3.69,3.51,0.225,1.11
187,-2.3,0.53,5.11,3.69,3.51,0.25,1.57
188,-2.3,0.53,5.11,3.69,3.51,0.275,2.17
189,-2.3,0.53,5.11,3.69,3.51,0.3,2.98
190,-2.3,0.53,5.11,3.69,3.51,0.325,4.42
191,-2.3,0.53,5.11,3.69,3.51,0.35,7.84
192,-2.3,0.53,5.11,3.69,3.51,0.375,14.11
193,-2.3,0.53,5.11,3.69,3.51,0.4,24.14
194,-2.3,0.53,5.11,3.69,3.51,0.425,37.95
195,-2.3,0.53,5.11,3.69,3.51,0.45,55.17
196,-2.3,0.53,4.76,3.68,3.16,0.125,0.1
197,-2.3,0.53,4.76,3.68,3.16,0.15,0.23
198,-2.3,0.53,4.76,3.68,3.16,0.175,0.47
199,-2.3,0.53,4.76,3.68,3.16,0.2,0.76
200,-2.3,0.53,4.76,3.68,3.16,0.225,1.15
201,-2.3,0.53,4.76,3.68,3.16,0.25,1.65
202,-2.3,0.53,4.76,3.68,3.16,0.275,2.28
203,-2.3,0.53,4.76,3.68,3.16,0.3,3.09
204,-2.3,0.53,4.76,3.68,3.16,0.325,4.41
205,-2.3,0.53,4.76,3.68,3.16,0.35,7.51
206,-2.3,0.53,4.76,3.68,3.16,0.375,13.77
207,-2.3,0.53,4.76,3.68,3.16,0.4,23.96
208,-2.3,0.53,4.76,3.68,3.16,0.425,37.38
209,-2.3,0.53,4.76,3.68,3.16,0.45,56.46
210,-2.3,0.53,4.34,2.81,3.15,0.125,0.05
211,-2.3,0.53,4.34,2.81,3.15,0.15,0.17
212,-2.3,0.53,4.34,2.81,3.15,0.175,0.35
213,-2.3,0.53,4.34,2.81,3.15,0.2,0.63
214,-2.3,0.53,4.34,2.81,3.15,0.225,1.01
215,-2.3,0.53,4.34,2.81,3.15,0.25,1.43
216,-2.3,0.53,4.34,2.81,3.15,0.275,2.05
217,-2.3,0.53,4.34,2.81,3.15,0.3,2.73
218,-2.3,0.53,4.34,2.81,3.15,0.325,3.87
219,-2.3,0.53,4.34,2.81,3.15,0.35,7.19
220,-2.3,0.53,4.34,2.81,3.15,0.375,13.96
221,-2.3,0.53,4.34,2.81,3.15,0.4,25.18
222,-2.3,0.53,4.34,2.81,3.15,0.425,41.34
223,-2.3,0.53,4.34,2.81,3.15,0.45,62.42
224,0.0,0.6,4.78,4.24,3.15,0.125,0.03
225,0.0,0.6,4.78,4.24,3.15,0.15,0.18
226,0.0,0.6,4.78,4.24,3.15,0.175,0.4
227,0.0,0.6,4.78,4.24,3.15,0.2,0.73
228,0.0,0.6,4.78,4.24,3.15,0.225,1.3
229,0.0,0.6,4.78,4.24,3.15,0.25,2.16
230,0.0,0.6,4.78,4.24,3.15,0.275,3.35
231,0.0,0.6,4.78,4.24,3.15,0.3,5.06
232,0.0,0.6,4.78,4.24,3.15,0.325,7.14
233,0.0,0.6,4.78,4.24,3.15,0.35,10.36
234,0.0,0.6,4.78,4.24,3.15,0.375,15.25
235,0.0,0.6,4.78,4.24,3.15,0.4,23.15
236,0.0,0.6,4.78,4.24,3.15,0.425,34.62
237,0.0,0.6,4.78,4.24,3.15,0.45,51.5
238,-5.0,0.6,4.78,4.24,3.15,0.125,0.06
239,-5.0,0.6,4.78,4.24,3.15,0.15,0.15
240,-5.0,0.6,4.78,4.24,3.15,0.175,0.34
241,-5.0,0.6,4.78,4.24,3.15,0.2,0.63
242,-5.0,0.6,4.78,4.24,3.15,0.225,1.13
243,-5.0,0.6,4.78,4.24,3.15,0.25,1.85
244,-5.0,0.6,4.78,4.24,3.15,0.275,2.84
245,-5.0,0.6,4.78,4.24,3.15,0.3,4.34
246,-5.0,0.6,4.78,4.24,3.15,0.325,6.2
247,-5.0,0.6,4.78,4.24,3.15,0.35,8.62
248,-5.0,0.6,4.78,4.24,3.15,0.375,12.49
249,-5.0,0.6,4.78,4.24,3.15,0.4,20.41
250,-5.0,0.6,4.78,4.24,3.15,0.425,32.46
251,-5.0,0.6,4.78,4.24,3.15,0.45,50.94
252,0.0,0.53,4.78,3.75,3.15,0.125,0.16
253,0.0,0.53,4.78,3.75,3.15,0.15,0.32
254,0.0,0.53,4.78,3.75,3.15,0.175,0.59
255,0.0,0.53,4.78,3.75,3.15,0.2,0.92
256,0.0,0.53,4.78,3.75,3.15,0.225,1.37
257,0.0,0.53,4.78,3.75,3.15,0.25,1.94
258,0.0,0.53,4.78,3.75,3.15,0.275,2.62
259,0.0,0.53,4.78,3.75,3.15,0.3,3.7
260,0.0,0.53,4.78,3.75,3.15,0.325,5.45
261,0.0,0.53,4.78,3.75,3.15,0.35,9.45
262,0.0,0.53,4.78,3.75,3.15,0.375,16.31
263,0.0,0.53,4.78,3.75,3.15,0.4,27.34
264,0.0,0.53,4.78,3.75,3.15,0.425,41.77
265,0.0,0.53,4.78,3.75,3.15,0.45,60.85
266,-5.0,0.53,4.78,3.75,3.15,0.125,0.09
267,-5.0,0.53,4.78,3.75,3.15,0.15,0.24
268,-5.0,0.53,4.78,3.75,3.15,0.175,0.47
269,-5.0,0.53,4.78,3.75,3.15,0.2,0.78
270,-5.0,0.53,4.78,3.75,3.15,0.225,1.21
271,-5.0,0.53,4.78,3.75,3.15,0.25,1.85
272,-5.0,0.53,4.78,3.75,3.15,0.275,2.62
273,-5.0,0.53,4.78,3.75,3.15,0.3,3.69
274,-5.0,0.53,4.78,3.75,3.15,0.325,5.07
275,-5.0,0.53,4.78,3.75,3.15,0.35,7.95
276,-5.0,0.53,4.78,3.75,3.15,0.375,13.73
277,-5.0,0.53,4.78,3.75,3.15,0.4,23.55
278,-5.0,0.53,4.78,3.75,3.15,0.425,37.14
279,-5.0,0.53,4.78,3.75,3.15,0.45,55.87
280,-2.3,0.6,5.1,4.17,3.51,0.125,0.01
281,-2.3,0.6,5.1,4.17,3.51,0.15,0.16
282,-2.3,0.6,5.1,4.17,3.51,0.175,0.39
283,-2.3,0.6,5.1,4.17,3.51,0.2,0.73
284,-2.3,0.6,5.1,4.17,3.51,0.225,1.24
285,-2.3,0.6,5.1,4.17,3.51,0.25,1.96
286,-2.3,0.6,5.1,4.17,3.51,0.275,3.04
287,-2.3,0.6,5.1,4.17,3.51,0.3,4.46
288,-2.3,0.6,5.1,4.17,3.51,0.325,6.31
289,-2.3,0.6,5.1,4.17,3.51,0.35,8.68
290,-2.3,0.6,5.1,4.17,3.51,0.375,12.39
291,-2.3,0.6,5.1,4.17,3.51,0.4,20.14
292,-2.3,0.6,5.1,4.17,3.51,0.425,31.77
293,-2.3,0.6,5.1,4.17,3.51,0.45,47.13
294,-2.3,0.6,4.34,4.23,2.73,0.125,0.04
295,-2.3,0.6,4.34,4.23,2.73,0.15,0.17
296,-2.3,0.6,4.34,4.23,2.73,0.175,0.36
297,-2.3,0.6,4.34,4.23,2.73,0.2,0.64
298,-2.3,0.6,4.34,4.23,2.73,0.225,1.02
299,-2.3,0.6,4.34,4.23,2.73,0.25,1.62
300,-2.3,0.6,4.34,4.23,2.73,0.275,2.63
301,-2.3,0.6,4.34,4.23,2.73,0.3,4.15
302,-2.3,0.6,4.34,4.23,2.73,0.325,6.0
303,-2.3,0.6,4.34,4.23,2.73,0.35,8.47
304,-2.3,0.6,4.34,4.23,2.73,0.375,12.27
305,-2.3,0.6,4.34,4.23,2.73,0.4,19.59
306,-2.3,0.6,4.34,4.23,2.73,0.425,30.48
307,-2.3,0.6,4.34,4.23,2.73,0.45,46.66
